City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,khatanga,RU,71.9667,102.5,-1.71,97,99,6.78
1,mahibadhoo,MV,3.7833,72.9667,82.08,72,97,10.11
2,lekoni,GA,-1.5843,14.2591,83.55,56,43,0.96
3,antofagasta,CL,-23.65,-70.4,71.01,60,0,11.5
4,upernavik,GL,72.7868,-56.1549,-15.54,74,80,2.66
5,qaanaaq,GL,77.484,-69.3632,-14.94,78,33,3.0
6,castro,BR,-24.7911,-50.0119,76.32,67,36,6.62
7,talnakh,RU,69.4865,88.3972,-11.88,96,52,2.66
8,beloha,MG,-25.1667,45.05,72.07,81,36,4.41
9,lavrentiya,RU,65.5833,-171.0,4.57,95,100,18.25
10,umm kaddadah,SD,13.6017,26.6876,73.22,11,0,13.73
11,viedma,AR,-40.8135,-62.9967,79.36,12,41,8.63
12,constitucion,CL,-35.3333,-72.4167,69.3,42,0,4.88
13,sawtell,AU,-30.3833,153.1,64.4,94,31,3.44
14,kilis,TR,36.7161,37.115,42.8,65,0,6.91
15,tura,IN,25.5198,90.2201,74.17,19,0,2.42
16,hermanus,ZA,-34.4187,19.2345,66.99,75,100,1.99
17,kapaa,US,22.0752,-159.319,73.4,68,90,19.57
18,beringovskiy,RU,63.05,179.3167,9.21,94,100,16.8
19,yarim,YE,14.298,44.3779,55.63,48,41,5.75
20,hasaki,JP,35.7333,140.8333,62.6,94,75,20.71
21,marsa matruh,EG,31.3525,27.2453,59.0,58,20,10.36
22,alofi,NU,-19.0595,-169.9187,77.0,94,9,9.22
23,ancud,CL,-41.8697,-73.8203,66.2,63,20,16.11
24,tuatapere,NZ,-46.1333,167.6833,52.0,98,94,1.83
25,hobart,AU,-42.8794,147.3294,55.4,54,90,8.05
26,atuona,PF,-9.8,-139.0333,81.23,71,100,18.14
27,nikolskoye,RU,59.7035,30.7861,45.0,87,100,4.47
28,mar del plata,AR,-38.0023,-57.5575,68.0,83,40,14.97
29,kosterevo,RU,55.9299,39.6144,32.68,91,99,5.23
30,mahebourg,MU,-20.4081,57.7,78.8,83,40,3.44
31,dikson,RU,73.5069,80.5464,-25.24,100,45,6.55
32,rikitea,PF,-23.1203,-134.9692,78.42,75,10,16.06
33,mehndawal,IN,26.9753,83.1117,68.0,68,1,1.14
34,yershichi,RU,53.6725,32.7542,37.24,89,86,7.99
35,butaritari,KI,3.0707,172.7902,80.28,80,34,12.33
36,poum,NC,-20.2333,164.0167,79.57,78,15,9.8
37,iqaluit,CA,63.7506,-68.5145,12.2,79,90,23.02
38,guerrero negro,MX,27.9769,-114.0611,77.07,20,1,3.22
39,carauari,BR,-4.8828,-66.8958,79.38,84,98,2.33
40,georgetown,MY,5.4112,100.3354,80.01,89,40,3.44
41,ous,RU,60.9058,61.5186,28.44,81,99,11.32
42,avarua,CK,-21.2078,-159.775,80.6,78,75,13.8
43,albany,US,42.6001,-73.9662,50.0,88,100,1.01
44,labuhan,ID,-6.8844,112.2051,78.19,88,96,5.39
45,cordele,US,31.9635,-83.7824,82.99,54,75,13.8
46,kruisfontein,ZA,-34.0033,24.7314,64.0,73,100,7.0
47,nizwa,OM,22.9333,57.5333,84.54,10,87,4.16
48,kedgwick,CA,47.6446,-67.3434,32.22,94,100,11.25
49,jiuquan,CN,39.7432,98.5174,46.51,49,6,4.76
50,paamiut,GL,61.994,-49.6678,17.4,63,0,23.38
51,saskylakh,RU,71.9167,114.0833,-4.5,99,98,2.3
52,ushuaia,AR,-54.8,-68.3,46.4,61,40,28.77
53,punta arenas,CL,-53.15,-70.9167,51.8,43,0,23.02
54,ust-uda,RU,54.1742,103.0304,19.63,97,100,1.43
55,plainview,US,40.7765,-73.4673,55.99,94,90,13.8
56,alyangula,AU,-13.8483,136.4192,82.13,79,77,13.31
57,qunduz,AF,36.729,68.857,49.77,78,100,28.01
58,taoudenni,ML,22.6783,-3.9836,90.95,3,45,10.98
