City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,carnarvon,AU,1616636796,-24.8667,113.6333,77.0,69,16,18.41
1,hobart,AU,1616636514,-42.8794,147.3294,64.99,82,75,12.66
2,francisco beltrao,BR,1616636563,-26.0811,-53.055,66.25,95,100,3.38
3,punta arenas,CL,1616636796,-53.15,-70.9167,46.4,76,75,8.05
4,hay river,CA,1616636797,60.8156,-115.7999,-4.0,65,75,3.44
5,lavrentiya,RU,1616636797,65.5833,-171.0,17.1,89,87,3.31
6,dingle,PH,1616636797,10.9995,122.6711,84.85,69,100,15.88
7,ushuaia,AR,1616636798,-54.8,-68.3,42.8,75,20,28.77
8,albany,US,1616636798,42.6001,-73.9662,52.0,83,100,4.0
9,thompson,CA,1616636799,55.7435,-97.8558,10.4,48,75,8.05
10,chimoio,MZ,1616636799,-19.1164,33.4833,61.27,97,12,1.39
11,marawi,PH,1616636800,7.9986,124.2928,82.99,76,100,4.0
12,mahebourg,MU,1616636800,-20.4081,57.7,73.4,100,0,4.61
13,hermanus,ZA,1616636800,-34.4187,19.2345,68.0,81,1,11.01
14,rikitea,PF,1616636801,-23.1203,-134.9692,79.7,74,48,15.28
15,provideniya,RU,1616636801,64.3833,-173.3,19.4,73,75,6.71
16,new norfolk,AU,1616636802,-42.7826,147.0587,64.99,68,100,4.0
17,broken hill,AU,1616636802,-31.95,141.4333,68.0,56,75,12.66
18,nikolskoye,RU,1616636802,59.7035,30.7861,37.99,81,90,6.71
19,busselton,AU,1616636803,-33.65,115.3333,66.99,65,41,1.99
20,atuona,PF,1616636803,-9.8,-139.0333,80.71,77,33,19.75
21,murgab,TM,1616636804,37.4966,61.9714,87.8,16,75,34.52
22,cascais,PT,1616636804,38.6979,-9.4215,53.01,76,0,10.36
23,avarua,CK,1616636804,-21.2078,-159.775,86.0,74,75,17.27
24,severo-kurilsk,RU,1616636805,50.6789,156.125,28.56,60,23,13.51
25,ahipara,NZ,1616636805,-35.1667,173.1667,69.24,58,19,3.09
26,vaini,TO,1616636806,-21.2,-175.2,75.2,94,90,14.97
27,saint-pierre,RE,1616636806,-21.3393,55.4781,78.8,65,0,5.75
28,chuy,UY,1616636806,-33.6971,-53.4616,66.09,86,1,7.18
29,nicolas bravo,MX,1616636807,18.45,-88.9167,81.0,78,40,20.71
30,winnemucca,US,1616636807,40.973,-117.7357,46.4,29,20,11.5
31,cherskiy,RU,1616636808,68.75,161.3,0.09,88,100,3.74
32,georgetown,MY,1616636808,5.4112,100.3354,82.4,94,20,4.61
33,port alfred,ZA,1616636808,-33.5906,26.891,68.36,85,100,14.9
34,cape town,ZA,1616636540,-33.9258,18.4232,66.99,88,0,2.3
35,sohag,EG,1616636809,26.557,31.6948,60.8,36,0,6.91
36,poum,NC,1616636809,-20.2333,164.0167,80.31,75,58,19.17
37,andra,RU,1616636809,62.5147,65.8878,2.16,100,100,1.72
38,katsuura,JP,1616636810,35.1333,140.3,62.6,63,75,13.8
39,touros,BR,1616636810,-5.1989,-35.4608,78.8,83,75,2.3
40,east london,ZA,1616636811,-33.0153,27.9116,68.07,85,100,10.33
41,saint-philippe,RE,1616636811,-21.3585,55.7679,78.8,65,0,5.75
42,longyearbyen,SJ,1616636727,78.2186,15.6401,26.6,74,40,12.66
43,bambous virieux,MU,1616636812,-20.3428,57.7575,77.0,100,0,4.61
44,biloela,AU,1616636812,-24.4167,150.5,86.65,27,0,10.54
45,ayan,RU,1616636812,56.45,138.1667,16.02,53,15,10.76
46,ternate,ID,1616636813,0.8,127.4,81.48,76,100,1.41
47,macau,MO,1616636813,22.2006,113.5461,71.6,78,20,11.5
48,borba,BR,1616636814,-4.3878,-59.5939,73.11,95,99,0.6
49,aginskoye,RU,1616636814,51.1,114.53,33.73,53,3,3.96
50,saskylakh,RU,1616636815,71.9167,114.0833,-2.29,90,100,9.75
51,esperance,AU,1616636815,-33.8667,121.9,66.2,63,12,13.8
52,hithadhoo,MV,1616636815,-0.6,73.0833,82.98,70,91,10.74
53,fortuna,US,1616636816,40.5982,-124.1573,50.0,93,90,5.75
54,torbay,CA,1616636816,47.6666,-52.7314,35.01,64,90,5.75
55,muzhi,RU,1616636817,65.3667,64.6667,14.38,83,23,8.16
56,mubende,UG,1616636817,0.5606,31.39,61.39,92,81,1.88
57,mataura,NZ,1616636818,-46.1927,168.8643,62.01,76,8,3.0
58,creel,MX,1616636818,27.75,-107.6333,35.71,68,89,19.35
59,bredasdorp,ZA,1616636818,-34.5322,20.0403,64.4,94,99,5.75
60,saint-augustin,CA,1616636818,51.226,-58.6502,26.06,96,100,4.18
61,swellendam,ZA,1616636819,-34.0226,20.4417,64.4,94,98,5.75
62,mersin,TR,1616636819,36.862,34.6509,50.0,50,40,20.71
63,tomatlan,MX,1616636820,19.9333,-105.25,64.87,65,12,2.93
64,kapaa,US,1616636820,22.0752,-159.319,81.0,78,1,13.8
65,bluff,NZ,1616636821,-46.6,168.3333,62.01,76,13,3.0
66,bethel,US,1616636821,41.3712,-73.414,51.01,95,100,3.0
67,yellowknife,CA,1616636821,62.456,-114.3525,6.8,51,20,8.05
68,iwanai,JP,1616636822,42.9744,140.5089,49.19,85,100,4.09
69,gumdag,TM,1616636822,39.2061,54.5906,63.16,62,100,11.3
70,hare bay,CA,1616636823,48.8499,-54.0148,30.2,86,100,4.52
71,butaritari,KI,1616636823,3.0707,172.7902,81.7,79,27,17.16
72,worcester,US,1616636824,42.3334,-71.8328,54.0,58,90,10.36
73,swift current,CA,1616636706,50.2834,-107.8014,42.8,45,40,10.36
74,ambovombe,MG,1616636824,-25.1667,46.0833,68.76,86,17,3.71
75,yenagoa,NG,1616636824,4.9247,6.2642,74.68,90,100,3.42
76,qaanaaq,GL,1616636825,77.484,-69.3632,-19.48,55,15,8.28
77,clyde river,CA,1616636825,70.4692,-68.5914,-16.6,69,75,16.11
78,sisophon,KH,1616636826,13.5859,102.9737,89.53,42,96,6.58
79,boa vista,BR,1616636826,2.8197,-60.6733,77.0,88,90,8.05
80,codrington,AU,1616636826,-38.2667,141.9667,62.87,69,55,19.17
81,gazojak,TM,1616636827,41.1875,61.4036,63.64,37,100,9.33
82,mar del plata,AR,1616636547,-38.0023,-57.5575,69.01,83,75,9.86
83,ilulissat,GL,1616636827,69.2167,-51.1,-4.0,77,90,5.75
84,dongsheng,CN,1616636828,39.8161,109.9776,50.23,36,83,18.28
